k5_pace_minkm,k10_pace_minkm,mh_pace_minkm,has_k5_data,has_k10_data,slowdown_10k_to_hm,slowdown_5k_to_hm,sex_M,sex_F,age_input,age_squared,bmi_input,endurancecat_input,typical_km_week,max_km_week,training_volume_ratio,has_sprint,has_tempo,injury_history,footwear_type,k5_pace_squared,k10_pace_squared,mh_pace_squared,mh_pace_cubed,sex_pace_interaction,age_pace_interaction,bmi_pace_interaction,training_pace_interaction,endurance_pace_interaction,age_bmi_interaction
3.6966666666666668,,4.092112019591578,1,0,,1.1069734949300933,1,0,28.0,784.0,23.949071884155273,2,28.0,34.0,1.2142857142857142,1,1,1,2,13.665344444444445,,16.745380780885867,68.52397396610087,4.092112019591578,114.5791365485642,98.00228491521452,114.5791365485642,8.184224039183157,670.5740127563477
5.803333333333333,,6.417032033811273,1,0,,1.105749345286262,0,1,52.0,2704.0,18.955427169799805,1,40.0,55.0,1.375,0,0,0,2,33.67867777777777,,41.17830012296004,264.2424709869292,0.0,333.6856657581862,121.6375833631819,256.6812813524509,6.417032033811273,985.6822128295898
,3.8033333333333332,4.047082987715765,0,1,1.064088427970841,,1,0,39.0,1521.0,23.007858276367188,3,60.0,70.0,1.1666666666666667,1,1,0,2,,14.465344444444444,16.37888070945836,66.28668947707484,4.047082987715765,157.83623652091484,93.11471181406101,242.82497926294587,12.141248963147294,897.3064727783203
,,5.545680767863491,0,0,,,1,0,69.0,4761.0,23.066198348999023,4,40.0,45.0,1.125,1,1,1,2,,,30.754575179051,170.555056094275,5.545680767863491,382.6519729825809,127.9177725717685,221.82723071453964,22.182723071453964,1591.5676860809326
,5.9,6.304064462614054,0,1,1.068485502137975,,0,1,29.0,841.0,27.49613380432129,1,20.0,30.0,1.5,0,1,0,2,,34.81,39.741228748793425,250.5312678558846,0.0,182.81786941580756,173.3373999751028,126.08128925228108,6.304064462614054,797.3878803253174
3.3766666666666665,,3.629181972587589,1,0,,1.074782420312218,1,0,46.0,2116.0,19.640853881835938,1,45.0,70.0,1.5555555555555556,1,1,0,1,11.401877777777777,,13.170961790154745,47.79981709046956,3.629181972587589,166.9423707390291,71.28023283418595,163.3131887664415,3.629181972587589,903.4792785644531
,,6.446261405379785,0,0,,,0,1,31.0,961.0,32.55697250366211,1,25.0,32.0,1.28,0,1,0,2,,,41.55428610648896,267.8697907563692,0.0,199.83410356677334,209.8707553263679,161.15653513449462,6.446261405379785,1009.2661476135254
,,5.250227120116917,0,0,,,1,0,51.0,2601.0,25.210784912109375,1,35.0,50.0,1.4285714285714286,1,1,1,2,,,27.564884812811176,144.72190580712018,5.250227120116917,267.7615831259628,132.36234666499104,183.75794920409209,5.250227120116917,1285.7500305175781
,,6.363313188766441,0,0,,,0,1,45.0,2025.0,25.799516677856445,2,20.0,34.0,1.7,0,0,0,2,,,40.491754738328936,257.6617169627046,0.0,286.34909349448986,164.17040474000368,127.26626377532882,12.726626377532883,1160.97825050354
4.823333333333333,,5.404273808113126,1,0,,1.1204437750061766,0,1,31.0,961.0,21.81818199157715,1,25.0,30.0,1.2,0,0,0,2,23.264544444444443,,29.206175393057546,157.83816871185897,0.0,167.5324880515069,117.91142947772586,135.10684520282814,5.404273808113126,676.3636417388916
4.6899999999999995,,5.0819607378441365,1,0,,1.0835737180904343,0,1,36.0,1296.0,20.035062789916992,2,55.0,60.0,1.0909090909090908,1,1,1,2,21.996099999999995,,25.82632494098932,131.2483693529125,0.0,182.9505865623889,101.81740247860016,279.5078405814275,10.163921475688273,721.2622604370117
,,5.284986372792985,0,0,,,1,0,51.0,2601.0,23.337141036987305,2,45.0,55.0,1.2222222222222223,1,1,0,2,,,27.931080960607552,147.6153822541885,5.284986372792985,269.53430501244225,123.33647236042586,237.82438677568433,10.56997274558597,1190.1941928863525
3.9333333333333336,,4.265908282971916,1,0,,1.0845529532979445,1,0,30.0,900.0,23.883041381835938,1,26.0,32.0,1.2307692307692308,0,0,0,2,15.471111111111114,,18.197973478728397,77.63088579621072,4.265908282971916,127.97724848915747,101.88286405333496,110.9136153572698,4.265908282971916,716.4912414550781
4.393333333333333,,5.183868546826243,1,0,,1.179939729930101,1,0,47.0,2209.0,23.709318161010742,2,27.0,33.0,1.2222222222222223,0,1,1,2,19.301377777777773,,26.87249311077443,139.30347181174847,5.183868546826243,243.64182170083345,122.90598868155982,139.96445076430857,10.367737093652487,1114.3379535675049
,,3.6584113441561006,0,0,,,1,0,35.0,1225.0,20.316585540771484,1,55.0,63.0,1.1454545454545455,1,1,1,2,,,13.383973563050047,48.964080712947634,3.6584113441561006,128.0443970454635,74.32642701687621,201.21262392858554,3.6584113441561006,711.080493927002
3.55,,3.710550223170202,1,0,,1.0452254149775217,1,0,36.0,1296.0,23.005733489990234,1,60.0,75.0,1.25,0,0,0,2,12.6025,,13.768182958668435,51.08753434993533,3.710550223170202,133.57980803412727,85.36392953547745,222.6330133902121,3.710550223170202,828.2064056396484
,,5.450882806019671,0,0,,,0,1,26.0,676.0,22.19460105895996,1,30.0,37.0,1.2333333333333334,1,0,0,2,,,29.712123364960878,161.95730238040056,0.0,141.72295295651145,120.98016929875082,163.5264841805901,5.450882806019671,577.059627532959
,5.133333333333334,5.337125251807086,0,1,1.0396997243780037,,0,1,34.0,1156.0,23.80480194091797,2,30.0,35.0,1.1666666666666667,1,1,0,2,,26.351111111111116,28.484905953476847,152.02751085965127,0.0,181.4622585614409,127.04920955313962,160.11375755421258,10.674250503614171,809.3632659912109
3.9166666666666665,,4.314097246909191,1,0,,1.1014716375087297,1,0,52.0,2704.0,22.149662017822266,1,50.0,56.0,1.12,1,1,0,2,15.340277777777777,,18.611435055789464,80.29154073521053,4.314097246909191,224.33305683927793,95.55579593105611,215.70486234545956,4.314097246909191,1151.7824249267578
4.8,,5.593079748785401,1,0,,1.1652249476636254,0,1,46.0,2116.0,20.869855880737305,1,48.0,50.0,1.0416666666666667,1,1,0,2,23.04,,31.282541076273365,174.96574698425204,0.0,257.28166844412846,116.72676828662173,268.4678279416993,5.593079748785401,960.013370513916
,,4.755697752498321,0,0,,,1,0,31.0,961.0,23.241914749145508,2,38.0,50.0,1.3157894736842106,1,1,0,2,,,22.616661113117583,107.55800442466946,4.755697752498321,147.42663032744795,110.53152173626887,180.7165145949362,9.511395504996642,720.4993572235107
3.2833333333333337,,3.5770430935734883,1,0,,1.0894547493117221,1,0,32.0,1024.0,24.489795684814453,3,65.0,83.0,1.2769230769230768,0,1,0,2,10.78027777777778,,12.795237293281792,45.76911519056757,3.5770430935734883,114.46537899435162,87.60105451739136,232.50780108227673,10.731129280720465,783.6734619140625
5.296666666666667,,5.830074653394952,1,0,,1.1007063536931943,0,1,37.0,1369.0,23.460411071777344,1,35.0,40.0,1.1428571428571428,1,0,1,2,28.05467777777778,,33.98977046415827,198.1628992578015,0.0,215.71276217561322,136.7759479477954,204.05261286882333,5.830074653394952,868.0352096557617
,,4.337006754354781,0,0,,,1,0,28.0,784.0,25.231910705566406,1,45.0,60.0,1.3333333333333333,0,0,0,1,,,18.809627587318992,81.5774818931005,4.337006754354781,121.43618912193386,109.43096715531821,195.16530394596515,4.337006754354781,706.4934997558594
,,4.441284512382984,0,0,,,0,1,36.0,1296.0,23.030302047729492,1,48.0,54.0,1.125,1,1,0,1,,,19.725008119932955,87.60437306968683,0.0,159.88624244578742,102.28412380008311,213.1816565943832,4.441284512382984,829.0908737182617
,,4.688549196192282,0,0,,,0,1,49.0,2401.0,19.795589447021484,3,40.0,47.0,1.175,1,1,0,2,,,21.982493565115295,103.06600253502333,0.0,229.7389106134218,92.812594989985,187.5419678476913,14.065647588576846,969.9838829040527
3.63,,3.9925741596555673,1,0,,1.0998826886103492,1,0,28.0,784.0,20.91852569580078,3,55.0,63.0,1.1454545454545455,1,0,1,1,13.1769,,15.940648420349358,63.64422097124119,3.9925741596555673,111.79207647035588,83.51876515114519,219.5915787810562,11.977722478966701,585.7187194824219
,,7.003989414227594,0,0,,,0,1,36.0,1296.0,28.409090042114258,1,25.0,43.0,1.72,0,0,1,2,,,49.0558677146122,343.58677817889304,0.0,252.1436189121934,198.9769659228068,175.09973535568986,7.003989414227594,1022.7272415161133
,,5.095390449105344,0,0,,,1,0,60.0,3600.0,22.149662017822266,1,50.0,56.0,1.12,0,1,0,2,,,25.963003828833962,132.29164173952603,5.095390449105344,305.72342694632067,112.86117629652297,254.7695224552672,5.095390449105344,1328.979721069336
,,4.137931034482759,0,0,,,1,0,22.0,484.0,21.52133560180664,2,30.0,50.0,1.6666666666666667,0,0,0,2,,,17.122473246135556,70.85161343228506,4.137931034482759,91.0344827586207,89.05380249023438,124.13793103448276,8.275862068965518,473.4693832397461
,,4.743058024252479,0,0,,,0,1,43.0,1849.0,19.886363983154297,1,45.0,50.0,1.1111111111111112,1,1,0,2,,,22.496599421425827,106.70267640418744,0.0,203.95149504285658,94.32217826350548,213.43761109136153,4.743058024252479,855.1136512756348
4.026666666666666,,4.476043765059051,1,0,,1.1116002727795657,1,0,58.0,3364.0,21.74523162841797,2,23.0,100.0,4.3478260869565215,1,1,0,1,16.214044444444443,,20.03496778672401,89.67739264492495,4.476043765059051,259.61053837342496,97.33260845014513,102.94900659635819,8.952087530118103,1261.2234344482422
,,3.981514397440455,0,0,,,0,1,35.0,1225.0,19.676475524902344,1,50.0,50.0,1.0,1,1,1,2,,,15.852456897025629,63.11678537031178,0.0,139.35300391041594,78.34217059328341,199.07571987202274,3.981514397440455,688.676643371582
,,4.468933917920765,0,0,,,0,1,32.0,1024.0,21.757640838623047,2,38.0,45.0,1.1842105263157894,1,1,1,2,,,19.97137036274264,89.25073440141811,0.0,143.00588537346448,97.23345911766053,169.81948888098907,8.93786783584153,696.2445068359375
,,3.7018604100011845,0,0,,,1,0,34.0,1156.0,26.9360294342041,1,55.0,72.0,1.309090909090909,1,1,1,2,,,13.703770495134139,50.7294454636794,3.7018604100011845,125.86325394004027,99.71342096510676,203.60232255006514,3.7018604100011845,915.8250007629395
4.216666666666667,,4.296717620571158,1,0,,1.018984415945729,1,0,33.0,1089.0,25.921951293945312,3,30.0,38.0,1.2666666666666666,1,1,1,1,17.78027777777778,,18.461782310926676,79.32506536250756,4.296717620571158,141.7916814788482,111.37930488428216,128.90152861713474,12.890152861713474,855.4243927001953
3.6399999999999997,,3.7318797645850617,1,0,,1.0252416935673248,1,0,34.0,1156.0,21.17267417907715,1,65.0,72.0,1.1076923076923078,1,1,1,1,13.249599999999997,,13.926926577319454,51.973615476760365,3.7318797645850617,126.88391199589209,79.01387433105064,242.57218469802902,3.7318797645850617,719.870922088623
3.1133333333333333,,3.4166765414543585,1,0,,1.0974335786255969,1,0,36.0,1296.0,20.919370651245117,4,80.0,90.0,1.125,1,1,0,2,9.692844444444445,,11.673678588924517,39.885183787256416,3.4166765414543585,123.0003554923569,71.47472296609797,273.33412331634867,13.666706165817434,753.0973434448242
4.333333333333334,,4.755697752498321,1,0,,1.097468712114997,1,0,29.0,841.0,24.526159286499023,2,27.0,45.0,1.6666666666666667,1,1,1,2,18.777777777777782,,22.616661113117583,107.55800442466946,4.755697752498321,137.9152348224513,116.63900059621923,128.40383931745467,9.511395504996642,711.2586193084717
,,4.803096733420231,0,0,,,1,0,40.0,1600.0,25.204788208007812,2,35.0,40.0,1.1428571428571428,1,0,0,1,,,23.069738230592097,110.80618433621672,4.803096733420231,192.12386933680926,121.0610359084311,168.1083856697081,9.606193466840462,1008.1915283203125
4.536666666666667,,5.21388790141012,1,0,,1.149277274374016,1,0,38.0,1444.0,25.812137603759766,1,30.0,40.0,1.3333333333333333,1,1,0,2,20.581344444444447,,27.18462704847082,141.7375980723683,5.21388790141012,198.12774025358453,134.58159196177624,156.4166370423036,5.21388790141012,980.8612289428711
,4.816666666666666,5.314215744361496,0,1,1.103297386372629,,1,0,51.0,2601.0,26.567718505859375,2,29.0,43.0,1.4827586206896552,0,0,0,2,,23.200277777777774,28.24088897761961,150.07817683963114,5.314215744361496,271.0250029624363,141.18658797560218,154.11225658648337,10.628431488722992,1354.9536437988281
,,4.532132559149978,0,0,,,1,0,38.0,1444.0,28.20037269592285,2,35.0,45.0,1.2857142857142858,0,0,1,2,,,20.540225533707325,93.0910249135987,4.532132559149978,172.22103724769914,127.80782727535599,158.62463957024923,9.064265118299955,1071.6141624450684
